"id","deviceId","cId"
"1","H-1F-DLDJQ-098","B-98"
"2","H-1F-DLDJQ-099","B-99"
"3","H-1F-DLDJQ-100","B-100"
"4","H-1F-DLDJQ-101","B-101"
"5","H-1F-DLDJQ-102","B-102"
"6","H-1F-DLDJQ-103","B-103"
"7","H-1F-DLDJQ-104","B-104-A"
"8","H-1F-DLDJQ-104-2","B-104-B"
"9","H-1F-DLDJQ-105","B-105-A"
"10","H-1F-DLDJQ-105-2","B-105-B"
"11","H-1F-DLDJQ-106","B-106"
"12","H-1F-DLDJQ-107","B-107"
"13","H-1F-DLDJQ-108","B-108"
"14","H-1F-DLDJQ-109","B-109"
"15","H-1F-DLDJQ-110","B-110"
"16","H-1F-DLDJQ-123","B-123"
"17","H-1F-DLHZ-098","G-98"
"18","H-1F-DLHZ-099","G-99"
"19","H-1F-DLHZ-100","G-100"
"20","H-1F-DLHZ-101","G-101"
"21","H-1F-DLHZ-102","G-102"
"22","H-1F-DLHZ-103","G-103"
"23","H-1F-DLHZ-104-1","G-104-A"
"24","H-1F-DLHZ-104-2","G-104-B"
"25","H-1F-DLHZ-105-1","G-105-A"
"26","H-1F-DLHZ-105-2","G-105-B"
"27","H-1F-DLHZ-106","G-106"
"28","H-1F-DLHZ-107","G-107"
"29","H-1F-DLHZ-108","G-108"
"30","H-1F-DLHZ-109","G-109"
"31","H-1F-DLHZ-110","G-110"
"32","H-1F-DLHZ-123","G-123"
"33","H-1F-DLKT-098","P-98"
"34","H-1F-DLKT-099","P-99"
"35","H-1F-DLKT-100","P-100"
"36","H-1F-DLKT-101","P-101"
"37","H-1F-DLKT-102","P-102"
"38","H-1F-DLKT-103","P-103"
"39","H-1F-DLKT-104-1","P-104-A"
"40","H-1F-DLKT-104-2","P-104-B"
"41","H-1F-DLKT-105-1","P-105-A"
"42","H-1F-DLKT-105-2","P-105-B"
"43","H-1F-DLKT-106","P-106"
"44","H-1F-DLKT-107","P-107"
"45","H-1F-DLKT-108","P-108"
"46","H-1F-DLKT-109","P-109"
"47","H-1F-DLKT-110","P-110"
"48","H-1F-DLKT-123","P-123"
